id,name,sampling_rate
1,prova 2.1,5
2,EC01,5
3,EC01v2,5
4,ECc01,5
5,EC01p2,5
6,ECC01p2,5
7,EC01p3,5
8,ECC01p3,5
9,ECC02p1,5
10,ECCc02p1,5
11,ECC02p2,5
12,ECCc02p2,5
13,ECC02p3,5
14,ECCc02p3,5
15,EC03p1,5
16,ECc03p1,5
17,ECc03p2,5
18,ECcc03p2,5
19,EC03p3,5
20,ECc03p3,5
21,EH01p1,5
22,EHc01p1,5
23,EH01p2,5
24,EHc01p2,5
25,EH01p3,5
26,EHc01p3,5
27,EH02p1,5
28,EHc02p1,5
29,EH02p2,5
30,EHc02p2,5
31,EH02p3,5
32,EHc02p3,5
33,EH03p1,5
34,EH03p1c,5
35,EH03p2,5
36,EH03p2c,5
37,EH03p3,5
38,EH03p3c,5
39,EH04p1,5
40,EH04p1c,5
41,EH04p2,5
42,EH04p2c,5
43,EH04p3,5
44,EH04p3c,5
45,EH05p1,5
46,EH05p1c,5
47,EH05p2,5
48,EH05p2c,5
49,EH05p3,5
50,EH05p3c,5
51,EH06,5
52,EH06c,5
53,EH06p2,5
54,EH06p2c,5
55,EH06p3,5
56,EH06p3c,5
57,EH06p4,5
58,EH06p4c,5
59,EH06p5,5
60,EH06p5c,5
61,EH06p6,5
62,EH06p6c,5
63,EH07p1,5
64,EH07p1c,5
65,EH07p2,5
66,EH07p2c,5
67,EH07p3,5
68,EH07p3c,5
69,EH08p1,5
70,EH08p1c,5
71,EH08p2,5
72,EH08p2c,5
73,EH08p3,5
74,EH08p3c,5
75,EH09p1,5
76,EH09p1c,5
77,EH09p2,5
78,EH09p2c,5
79,EH09p3,5
80,EH09p3c,5
81,EH10p1,5
82,EH10p1c,5
83,EH10p2,5
84,EH10p2c,5
85,EH10p3,5
86,EH10p3c,5
87,EH11p1,5
88,EH11p1c,5
89,EH11p2,5
90,EH11p2v2,5
91,EH11p2c,5
92,EH11p3,5
93,EH11p3c,5
94,EH12p1,5
95,EH12p1c,5
96,EH12p2,5
97,EH12p2c,5
98,EH12p3,5
99,EH12p3c,5
100,Rp1,5
101,Rp2,5
102,Rp3,5
103,ARp1,5
104,ARp2,5
105,ARp3,5
106,p01p1,5
107,p01p1c,5
108,p01p2,5
109,p01p2c,5
110,p01p3,5
111,p01p3c,5
112,p02p1,5
113,p02p2,5
114,p02p2v2,5
115,p02p2cv2,5
116,p02p3,5
117,p02p3c,5
118,p03p1,5
119,p03p1c,5
120,p03p2,5
121,p03p2c,5
122,p03p3,5
123,p03p3c,5
124,ph01p1,5
125,ph01p1c,5
126,ph01p2,5
127,ph01p2c,5
128,ph01p3,5
129,ph01p3c,5
130,ph02p1,5
131,ph02p1c,5
132,ph02p2,5
133,ph02p2c,5
134,ph02p3,5
135,ph02p3c,5
136,ph03p1,5
137,ph03p1c,5
138,ph03p2,5
139,ph03p2c,5
140,ph03p3,5
141,ph03p3c,5
142,ph04p1,5
143,ph04p1c,5
144,ph04p2,5
145,ph04p2c,5
146,ph04p3,5
147,ph04p3c,5
