id,name,sampling_rate
3,EC01p1,5
4,EC01p1c,5
5,EC01p2,5
6,EC01p2c,5
7,EC01p3,5
8,EC01p3c,5
9,EC02p1,5
10,EC02p1c,5
11,EC02p2,5
12,EC02p2c,5
13,EC02p3,5
14,EC02p3c,5
15,EC03p1,5
16,EC03p1c,5
17,EC03p2,5
18,EC03p2c,5
19,EC03p3,5
20,EC03p3c,5
21,EH01p1,5
22,EH01p1c,5
23,EH01p2,5
24,EH01p2c,5
25,EH01p3,5
26,EH01p3c,5
27,EH02p1,5
28,EH02p1c,5
29,EH02p2,5
30,EH02p2c,5
31,EH02p3,5
32,EH02p3c,5
33,EH03p1,5
34,EH03p1c,5
35,EH03p2,5
36,EH03p2c,5
37,EH03p3,5
38,EH03p3c,5
39,EH04p1,5
40,EH04p1c,5
41,EH04p2,5
42,EH04p2c,5
43,EH04p3,5
44,EH04p3c,5
45,EH05p1,5
46,EH05p1c,5
47,EH05p2,5
48,EH05p2c,5
49,EH05p3,5
50,EH05p3c,5
51,EH06p1,5
52,EH06p1c,5
53,EH06p2,5
54,EH06p2c,5
55,EH06p3,5
56,EH06p3c,5
57,EH06p4,5
58,EH06p4c,5
59,EH06p5,5
60,EH06p5c,5
61,EH06p6,5
62,EH06p6c,5
63,EH07p1,5
64,EH07p1c,5
65,EH07p2,5
66,EH07p2c,5
67,EH07p3,5
68,EH07p3c,5
69,EH08p1,5
70,EH08p1c,5
71,EH08p2,5
72,EH08p2c,5
73,EH08p3,5
74,EH08p3c,5
75,EH09p1,5
76,EH09p1c,5
77,EH09p2,5
78,EH09p2c,5
79,EH09p3,5
80,EH09p3c,5
81,EH10p1,5
82,EH10p1c,5
83,EH10p2,5
84,EH10p2c,5
85,EH10p3,5
86,EH10p3c,5
87,EH11p1,5
88,EH11p1c,5
90,EH11p2,5
91,EH11p2c,5
92,EH11p3,5
93,EH11p3c,5
94,EH12p1,5
95,EH12p1c,5
96,EH12p2,5
97,EH12p2c,5
98,EH12p3,5
99,EH12p3c,5
100,Rp1,5
101,Rp2,5
102,Rp3,5
103,ARp1,5
104,ARp2,5
105,ARp3,5
